"destiny_code","destiny","year","Siria","Afganistán","Iraq","Rusia","Serbia","Somalia","Pakistán","Nigeria","Irán","Kosovo","max","min","dif","win","total_country"
"EE","Estonia","2010",NA,0.666667,NA,NA,NA,NA,NA,0,NA,NA,0.666667,0,0.666667,"Afganistán",115
"EE","Estonia","2011",NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,"Rusia",115
"EE","Estonia","2013",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,"Rusia",115
"EE","Estonia","2014",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,"Rusia",115
"EL","Grecia","2008",0,0.00804829,0,0,0,0,0,0,0,NA,0.00804829,0,0.00804829,"Afganistán",92235
"EL","Grecia","2009",0,0.00628931,0.0382514,0,NA,0,0,0,0.0793651,NA,0.0793651,0,0.0793651,"Irán",92235
"EL","Grecia","2010",0,0.05,0.103448,0,0,0,0,0.0689655,0.307692,NA,0.307692,0,0.307692,"Irán",92235
"EL","Grecia","2011",0.0333333,0.123077,0.0851064,0,0,0,0.00379507,0,0.0869565,NA,0.123077,0,0.123077,"Afganistán",92235
"EL","Grecia","2012",0,0.0547945,0,0,NA,0,0,0,0.0416667,NA,0.0547945,0,0.0547945,"Afganistán",92235
"EL","Grecia","2013",0.628571,0.117021,0.0816327,0,NA,0.25,0.0034965,0.0493827,0.111111,0,0.628571,0,0.628571,"Siria",92235
"EL","Grecia","2014",0.597938,0.28453,0.13913,0,0,0.227273,0.0280561,0.0531915,0.324324,NA,0.597938,0,0.597938,"Siria",92235
"ES","España","2008",0.0416667,0.25,0.5,0.1875,NA,0.25,0,0,0.125,NA,0.5,0,0.5,"Iraq",22760
"ES","España","2009",0,0.1,0.777778,0.0666667,0,0,0.0833333,0,0.142857,NA,0.777778,0,0.777778,"Iraq",22760
"ES","España","2010",0,0.428571,0.5,0.166667,NA,0.583333,0.636364,0,0.2,NA,0.636364,0,0.636364,"Pakistán",22760
"ES","España","2011",0,0.6,0,0.166667,NA,0.842105,0.222222,0,0.125,NA,0.842105,0,0.842105,"Somalia",22760
"ES","España","2012",0,1,0.5,0.166667,0,0.9,0.454545,0,0,NA,1,0,1,"Afganistán",22760
"ES","España","2013",0.939394,1,NA,0.2,0,0.894737,0.631579,0,NA,NA,1,0,1,"Afganistán",22760
"ES","España","2014",0.991489,0.75,NA,0.571429,NA,0.76,0.5,0,0.444444,NA,0.991489,0,0.991489,"Siria",22760
"FI","Finlandia","2008",0,0.666667,0.555556,0.259259,0.235294,0.460317,0,0.125,0.545455,NA,0.666667,0,0.666667,"Afganistán",15830
"FI","Finlandia","2009",0,0.324324,0.514286,0.25,0,0.395833,NA,0,0.25,0,0.514286,0,0.514286,"Iraq",15830
"FI","Finlandia","2010",0,0.423077,0.561576,0.139241,0,0.633508,0,0.1,0.3,0.047619,0.633508,0,0.633508,"Somalia",15830
