"destiny","year","Hombres","Mujeres","dif","win","total_country"
"Reino Unido","2010",0.242579,0.238323,0.00425599,"Hombres",171600
"Reino Unido","2011",0.305847,0.328982,0.0231352,"Mujeres",171600
"Reino Unido","2012",0.335086,0.391245,0.056159,"Mujeres",171600
"Reino Unido","2013",0.353495,0.431071,0.0775761,"Mujeres",171600
"Reino Unido","2014",0.39539,0.380479,0.0149108,"Hombres",171600
"República Checa","2008",0.102857,0.186667,0.0838095,"Mujeres",4925
"República Checa","2009",0.116667,0.0714286,0.0452381,"Hombres",4925
"República Checa","2010",0.3,0.37037,0.0703704,"Mujeres",4925
"República Checa","2011",0.375,0.575,0.2,"Mujeres",4925
"República Checa","2012",0.195402,0.258065,0.0626622,"Mujeres",4925
"República Checa","2013",0.336283,0.478261,0.141978,"Mujeres",4925
"República Checa","2014",0.306452,0.469388,0.162936,"Mujeres",4925
"Rumanía","2008",0.110169,1,0.889831,"Mujeres",6720
"Rumanía","2009",0.177778,0.5,0.322222,"Mujeres",6720
"Rumanía","2010",0.130435,0.333333,0.202899,"Mujeres",6720
"Rumanía","2011",0.0362694,0.5,0.463731,"Mujeres",6720
"Rumanía","2012",0.0947368,0.705882,0.611146,"Mujeres",6720
"Rumanía","2013",0.57732,0.880597,0.303277,"Mujeres",6720
"Rumanía","2014",0.428571,0.641791,0.21322,"Mujeres",6720
"Suecia","2008",0.223767,0.343584,0.119817,"Mujeres",222175
"Suecia","2009",0.240523,0.391068,0.150545,"Mujeres",222175
"Suecia","2010",0.282287,0.345602,0.0633156,"Mujeres",222175
"Suecia","2011",0.313007,0.349465,0.0364582,"Mujeres",222175
"Suecia","2012",0.367726,0.433146,0.0654203,"Mujeres",222175
"Suecia","2013",0.50396,0.580607,0.0766474,"Mujeres",222175
"Suecia","2014",0.775908,0.758544,0.0173644,"Hombres",222175
