"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Uganda","Austria","Females","18 to 34",0,5,5,0.5458
"Ukraine","Austria","Females","18 to 34",20,100,120,0.115
"Unknown","Austria","Females","18 to 34",5,30,35,0.4228
"Uzbekistan","Austria","Females","18 to 34",0,25,25,0.2344
"Vietnam","Austria","Females","18 to 34",0,5,5,0.0964
"Afghanistan","Belgium","Females","18 to 34",405,365,770,0.598
"Albania","Belgium","Females","18 to 34",80,525,605,0.1151
"Algeria","Belgium","Females","18 to 34",10,55,65,0.0666
"Angola","Belgium","Females","18 to 34",5,270,275,0.2079
"Armenia","Belgium","Females","18 to 34",10,840,850,0.1019
"Azerbaijan","Belgium","Females","18 to 34",5,80,85,0.2307
"Bangladesh","Belgium","Females","18 to 34",0,45,45,0.1215
"Belarus","Belgium","Females","18 to 34",0,60,60,0.2161
"Benin","Belgium","Females","18 to 34",20,20,40,0.1428
"Bhutan","Belgium","Females","18 to 34",0,5,5,0.655
"Bosnia and Herzegovina","Belgium","Females","18 to 34",0,190,190,0.0419
"Bulgaria","Belgium","Females","18 to 34",0,55,55,0
"Burkina Faso","Belgium","Females","18 to 34",25,55,80,0.205
"Burundi","Belgium","Females","18 to 34",70,200,270,0.4288
"Côte d'Ivoire","Belgium","Females","18 to 34",45,150,195,0.3072
"Cameroon","Belgium","Females","18 to 34",145,500,645,0.2922
"Central African Republic","Belgium","Females","18 to 34",10,0,10,0.7334
"Chad","Belgium","Females","18 to 34",0,5,5,0.3423
"China (including Hong Kong)","Belgium","Females","18 to 34",270,160,430,0.3081
"Congo","Belgium","Females","18 to 34",0,30,30,0.2841
"Croatia","Belgium","Females","18 to 34",0,15,15,0.0344
"Czech Republic","Belgium","Females","18 to 34",0,20,20,0
"Dem. Rep. Congo","Belgium","Females","18 to 34",350,1865,2215,0.2753
"Djibouti","Belgium","Females","18 to 34",35,60,95,0.4483
"Dominica","Belgium","Females","18 to 34",0,5,5,0
"Egypt","Belgium","Females","18 to 34",5,15,20,0.2919
"El Salvador","Belgium","Females","18 to 34",5,5,10,0.1677
"Eritrea","Belgium","Females","18 to 34",70,45,115,0.8457
"Ethiopia","Belgium","Females","18 to 34",15,75,90,0.4488
"Gabon","Belgium","Females","18 to 34",5,0,5,0.1361
"Gambia, The","Belgium","Females","18 to 34",5,30,35,0.2053
"Georgia","Belgium","Females","18 to 34",5,215,220,0.0461
"Ghana","Belgium","Females","18 to 34",0,30,30,0.2067
"Guatemala","Belgium","Females","18 to 34",0,5,5,0.1134
"Guinea","Belgium","Females","18 to 34",1170,1560,2730,0.3781
"Hungary","Belgium","Females","18 to 34",0,40,40,0
"India","Belgium","Females","18 to 34",0,25,25,0.0316
"Iran","Belgium","Females","18 to 34",145,290,435,0.6221
"Iraq","Belgium","Females","18 to 34",400,280,680,0.7028
"Jordan","Belgium","Females","18 to 34",5,10,15,0.2233
"Kazakhstan","Belgium","Females","18 to 34",5,110,115,0.1255
"Kenya","Belgium","Females","18 to 34",20,115,135,0.1625
"Kosovo","Belgium","Females","18 to 34",95,985,1080,0.076
"Kyrgyzstan","Belgium","Females","18 to 34",10,60,70,0.1401
"Lebanon","Belgium","Females","18 to 34",0,50,50,0.1203
"Liberia","Belgium","Females","18 to 34",10,20,30,0.1973
"Libya","Belgium","Females","18 to 34",5,0,5,0.3664
"Macedonia","Belgium","Females","18 to 34",15,390,405,0.0068
"Madagascar","Belgium","Females","18 to 34",0,5,5,0.134
"Mali","Belgium","Females","18 to 34",15,25,40,0.3899
"Mauritania","Belgium","Females","18 to 34",30,50,80,0.249
"Mauritius","Belgium","Females","18 to 34",0,5,5,0.0628
"Moldova","Belgium","Females","18 to 34",0,10,10,0.0413
"Mongolia","Belgium","Females","18 to 34",0,65,65,0.0461
"Montenegro","Belgium","Females","18 to 34",0,45,45,0.0159
"Morocco","Belgium","Females","18 to 34",5,50,55,0.0909
"Nepal","Belgium","Females","18 to 34",0,150,150,0.1661
"Niger","Belgium","Females","18 to 34",30,35,65,0.2775
"Nigeria","Belgium","Females","18 to 34",5,150,155,0.1437
"North Korea","Belgium","Females","18 to 34",15,25,40,0.4886
"Pakistan","Belgium","Females","18 to 34",10,115,125,0.2194
"Romania","Belgium","Females","18 to 34",0,55,55,0.0167
"Russia","Belgium","Females","18 to 34",390,1740,2130,0.2394
"Rwanda","Belgium","Females","18 to 34",185,560,745,0.5045
"Senegal","Belgium","Females","18 to 34",60,190,250,0.2267
"Serbia","Belgium","Females","18 to 34",90,770,860,0.0345
"Sierra Leone","Belgium","Females","18 to 34",10,55,65,0.3432
"Slovakia","Belgium","Females","18 to 34",0,150,150,0
"Somalia","Belgium","Females","18 to 34",185,180,365,0.762
"Sri Lanka","Belgium","Females","18 to 34",55,60,115,0.4103
"Sudan","Belgium","Females","18 to 34",20,30,50,0.594
"Syria","Belgium","Females","18 to 34",525,65,590,0.9129
"Tanzania","Belgium","Females","18 to 34",15,85,100,0.1317
"Togo","Belgium","Females","18 to 34",50,195,245,0.247
"Tunisia","Belgium","Females","18 to 34",0,10,10,0.0435
"Turkey","Belgium","Females","18 to 34",60,195,255,0.2215
"Uganda","Belgium","Females","18 to 34",10,40,50,0.5281
"Ukraine","Belgium","Females","18 to 34",0,90,90,0.1079
"Unknown","Belgium","Females","18 to 34",65,75,140,0.4056
"Uzbekistan","Belgium","Females","18 to 34",5,15,20,0.2219
"Vietnam","Belgium","Females","18 to 34",0,5,5,0.0904
"Yemen","Belgium","Females","18 to 34",0,5,5,0.5016
"Afghanistan","Bulgaria","Females","18 to 34",20,5,25,0.6879
"Armenia","Bulgaria","Females","18 to 34",0,30,30,0.1439
"Iran","Bulgaria","Females","18 to 34",0,10,10,0.7092
"Iraq","Bulgaria","Females","18 to 34",95,45,140,0.778
"Rwanda","Bulgaria","Females","18 to 34",0,5,5,0.6014
"Somalia","Bulgaria","Females","18 to 34",10,5,15,0.8259
"Stateless","Bulgaria","Females","18 to 34",85,25,110,0.8364
"Syria","Bulgaria","Females","18 to 34",1145,5,1150,0.9395
"Somalia","Croatia","Females","18 to 34",0,5,5,0.3491
"Armenia","Cyprus","Females","18 to 34",0,15,15,0.0459
"Bangladesh","Cyprus","Females","18 to 34",0,10,10,0.0554
"Cameroon","Cyprus","Females","18 to 34",0,40,40,0.149
"China (including Hong Kong)","Cyprus","Females","18 to 34",0,75,75,0.1589
"Congo","Cyprus","Females","18 to 34",0,5,5,0.1441
"Dem. Rep. Congo","Cyprus","Females","18 to 34",0,5,5,0.1388
"Egypt","Cyprus","Females","18 to 34",0,50,50,0.1489
"Ethiopia","Cyprus","Females","18 to 34",0,15,15,0.2567
"Georgia","Cyprus","Females","18 to 34",0,40,40,0.0201
"Ghana","Cyprus","Females","18 to 34",0,5,5,0.0996
"India","Cyprus","Females","18 to 34",0,115,115,0.0136
"Indonesia","Cyprus","Females","18 to 34",0,5,5,0
"Iran","Cyprus","Females","18 to 34",0,70,70,0.4112
"Iraq","Cyprus","Females","18 to 34",55,40,95,0.5008
"Israel","Cyprus","Females","18 to 34",0,5,5,0.0147
"Lebanon","Cyprus","Females","18 to 34",0,10,10,0.0549
"Mali","Cyprus","Females","18 to 34",0,5,5,0.2133
"Moldova","Cyprus","Females","18 to 34",0,20,20,0.0179
"Mongolia","Cyprus","Females","18 to 34",0,15,15,0.0201
"Morocco","Cyprus","Females","18 to 34",0,5,5,0.0407
"Nepal","Cyprus","Females","18 to 34",0,40,40,0.0779
"Nigeria","Cyprus","Females","18 to 34",0,10,10,0.0664
"Pakistan","Cyprus","Females","18 to 34",0,5,5,0.1065
"Palestine","Cyprus","Females","18 to 34",140,65,205,0.5445
"Philippines","Cyprus","Females","18 to 34",0,90,90,0
"Qatar","Cyprus","Females","18 to 34",0,5,5,0
"Russia","Cyprus","Females","18 to 34",0,15,15,0.1178
"Somalia","Cyprus","Females","18 to 34",5,0,5,0.576
"Sri Lanka","Cyprus","Females","18 to 34",0,165,165,0.2279
"Syria","Cyprus","Females","18 to 34",125,65,190,0.8164
"Turkey","Cyprus","Females","18 to 34",10,25,35,0.1077
"Ukraine","Cyprus","Females","18 to 34",0,25,25,0.0488
"Uzbekistan","Cyprus","Females","18 to 34",0,5,5,0.1079
"Vietnam","Cyprus","Females","18 to 34",0,390,390,0.0404
"Yemen","Cyprus","Females","18 to 34",10,0,10,0.2993
"Afghanistan","Czech Republic","Females","18 to 34",5,0,5,0.7518
"Armenia","Czech Republic","Females","18 to 34",0,20,20,0.1876
"Belarus","Czech Republic","Females","18 to 34",25,25,50,0.3595
"Côte d'Ivoire","Czech Republic","Females","18 to 34",0,5,5,0.4745
"China (including Hong Kong)","Czech Republic","Females","18 to 34",0,5,5,0.4755
"Cuba","Czech Republic","Females","18 to 34",10,5,15,0.8242
"Dem. Rep. Congo","Czech Republic","Females","18 to 34",0,5,5,0.4361
"Georgia","Czech Republic","Females","18 to 34",0,5,5,0.0896
"Iraq","Czech Republic","Females","18 to 34",10,0,10,0.828
"Kazakhstan","Czech Republic","Females","18 to 34",35,10,45,0.2261
"Kosovo","Czech Republic","Females","18 to 34",0,5,5,0.1435
"Kyrgyzstan","Czech Republic","Females","18 to 34",0,10,10,0.2491
"Moldova","Czech Republic","Females","18 to 34",5,5,10,0.0806
"Mongolia","Czech Republic","Females","18 to 34",0,70,70,0.0895
"Myanmar/Burma","Czech Republic","Females","18 to 34",10,0,10,0.8268
"Nigeria","Czech Republic","Females","18 to 34",0,60,60,0.2546
"Russia","Czech Republic","Females","18 to 34",5,35,40,0.3906
"Serbia","Czech Republic","Females","18 to 34",0,10,10,0.0679
"Sri Lanka","Czech Republic","Females","18 to 34",0,10,10,0.5862
"Stateless","Czech Republic","Females","18 to 34",0,5,5,0.8754
"Syria","Czech Republic","Females","18 to 34",25,5,30,0.9552
"Turkey","Czech Republic","Females","18 to 34",0,25,25,0.3668
"Ukraine","Czech Republic","Females","18 to 34",35,110,145,0.1976
"Vietnam","Czech Republic","Females","18 to 34",0,35,35,0.1682
"Afghanistan","Denmark","Females","18 to 34",165,320,485,0.5167
"Albania","Denmark","Females","18 to 34",0,15,15,0.0854
"Armenia","Denmark","Females","18 to 34",0,50,50,0.0754
"Azerbaijan","Denmark","Females","18 to 34",0,10,10,0.1773
"Bangladesh","Denmark","Females","18 to 34",0,5,5,0.0904
"Belarus","Denmark","Females","18 to 34",0,15,15,0.1654
"Bosnia and Herzegovina","Denmark","Females","18 to 34",5,15,20,0.0305
"Bulgaria","Denmark","Females","18 to 34",0,5,5,0
"Côte d'Ivoire","Denmark","Females","18 to 34",0,5,5,0.2417
"Cameroon","Denmark","Females","18 to 34",0,5,5,0.2288
"China (including Hong Kong)","Denmark","Females","18 to 34",0,20,20,0.2424
"Dem. Rep. Congo","Denmark","Females","18 to 34",15,20,35,0.2144
"Egypt","Denmark","Females","18 to 34",0,10,10,0.2286
"Eritrea","Denmark","Females","18 to 34",50,10,60,0.7976
"Ethiopia","Denmark","Females","18 to 34",5,25,30,0.3691
"Georgia","Denmark","Females","18 to 34",0,20,20,0.0336
"Ghana","Denmark","Females","18 to 34",0,5,5,0.1577
"India","Denmark","Females","18 to 34",0,5,5,0.0229
"Iran","Denmark","Females","18 to 34",175,150,325,0.5419
"Iraq","Denmark","Females","18 to 34",45,80,125,0.6296
"Jordan","Denmark","Females","18 to 34",0,5,5,0.1712
"Kenya","Denmark","Females","18 to 34",0,5,5,0.1224
"Kosovo","Denmark","Females","18 to 34",20,100,120,0.0558
"Lebanon","Denmark","Females","18 to 34",0,5,5,0.0895
"Macedonia","Denmark","Females","18 to 34",0,10,10,0.0049
"Moldova","Denmark","Females","18 to 34",0,5,5,0.03
"Morocco","Denmark","Females","18 to 34",0,5,5,0.067
"Myanmar/Burma","Denmark","Females","18 to 34",0,25,25,0.6275
"Nigeria","Denmark","Females","18 to 34",0,55,55,0.1076
"Pakistan","Denmark","Females","18 to 34",0,15,15,0.168
"Palestine","Denmark","Females","18 to 34",5,10,15,0.6694
"Russia","Denmark","Females","18 to 34",130,205,335,0.1845
"Serbia","Denmark","Females","18 to 34",10,215,225,0.0251
"Somalia","Denmark","Females","18 to 34",295,270,565,0.697
"Sri Lanka","Denmark","Females","18 to 34",0,25,25,0.3333
"Stateless","Denmark","Females","18 to 34",95,20,115,0.7126
"Sudan","Denmark","Females","18 to 34",0,5,5,0.5125
"Syria","Denmark","Females","18 to 34",635,90,725,0.8828
"Tajikistan","Denmark","Females","18 to 34",0,5,5,0.1187
"Turkey","Denmark","Females","18 to 34",0,10,10,0.1697
"Uganda","Denmark","Females","18 to 34",5,35,40,0.4458
"Ukraine","Denmark","Females","18 to 34",0,5,5,0.08
"Unknown","Denmark","Females","18 to 34",0,5,5,0.329
"Afghanistan","Finland","Females","18 to 34",120,65,185,0.6404
"Albania","Finland","Females","18 to 34",0,20,20,0.1347
"Angola","Finland","Females","18 to 34",35,10,45,0.239
"Belarus","Finland","Females","18 to 34",0,15,15,0.2481
"Bosnia and Herzegovina","Finland","Females","18 to 34",0,20,20,0.0497
"Bulgaria","Finland","Females","18 to 34",0,180,180,0
"Cameroon","Finland","Females","18 to 34",5,20,25,0.3307
"China (including Hong Kong)","Finland","Females","18 to 34",15,5,20,0.3477
"Dem. Rep. Congo","Finland","Females","18 to 34",40,20,60,0.3125
"Eritrea","Finland","Females","18 to 34",5,0,5,0.8678
"Ethiopia","Finland","Females","18 to 34",15,15,30,0.4935
"Ghana","Finland","Females","18 to 34",0,20,20,0.2377
"Iran","Finland","Females","18 to 34",65,30,95,0.6633
"Iraq","Finland","Females","18 to 34",220,90,310,0.7389
"Kazakhstan","Finland","Females","18 to 34",0,5,5,0.1466
"Kenya","Finland","Females","18 to 34",0,5,5,0.1885
"Kosovo","Finland","Females","18 to 34",20,70,90,0.0896
"Kyrgyzstan","Finland","Females","18 to 34",5,0,5,0.1632
"Macedonia","Finland","Females","18 to 34",0,5,5,0.0081
"Morocco","Finland","Females","18 to 34",10,5,15,0.1068
"Nigeria","Finland","Females","18 to 34",35,80,115,0.1672
"Pakistan","Finland","Females","18 to 34",0,10,10,0.2517
"Romania","Finland","Females","18 to 34",0,15,15,0.0199
"Russia","Finland","Females","18 to 34",75,185,260,0.2737
"Serbia","Finland","Females","18 to 34",5,60,65,0.0411
"Somalia","Finland","Females","18 to 34",425,180,605,0.793
"Sri Lanka","Finland","Females","18 to 34",5,10,15,0.4543
"Stateless","Finland","Females","18 to 34",0,5,5,0.8051
"Syria","Finland","Females","18 to 34",50,0,50,0.9262
"Turkey","Finland","Females","18 to 34",5,30,35,0.254
"Uganda","Finland","Females","18 to 34",5,0,5,0.5726
"Ukraine","Finland","Females","18 to 34",0,45,45,0.1265
"Unknown","Finland","Females","18 to 34",10,10,20,0.4495
"Afghanistan","France","Females","18 to 34",155,85,240,0.5378
"Albania","France","Females","18 to 34",145,1990,2135,0.0923
"Algeria","France","Females","18 to 34",85,605,690,0.0528
"Angola","France","Females","18 to 34",115,1005,1120,0.1703
"Armenia","France","Females","18 to 34",170,3695,3865,0.0815
"Azerbaijan","France","Females","18 to 34",140,870,1010,0.19
"Bangladesh","France","Females","18 to 34",80,690,770,0.0976
"Belarus","France","Females","18 to 34",10,120,130,0.1774
"Benin","France","Females","18 to 34",0,15,15,0.1153
"Bhutan","France","Females","18 to 34",0,20,20,0.5976
"Bolivia","France","Females","18 to 34",0,20,20,0.0791
"Bosnia and Herzegovina","France","Females","18 to 34",60,695,755,0.0331
"Brazil","France","Females","18 to 34",0,20,20,0.0472
"Burkina Faso","France","Females","18 to 34",5,45,50,0.1678
"Burundi","France","Females","18 to 34",10,20,30,0.3699
"Côte d'Ivoire","France","Females","18 to 34",200,980,1180,0.2575
"Cambodia","France","Females","18 to 34",0,40,40,0.2324
"Cameroon","France","Females","18 to 34",30,315,345,0.2441
"Central African Republic","France","Females","18 to 34",100,105,205,0.6827
"Chad","France","Females","18 to 34",65,185,250,0.2893
"China (including Hong Kong)","France","Females","18 to 34",505,2010,2515,0.2583
"Colombia","France","Females","18 to 34",25,90,115,0.1563
"Comoros","France","Females","18 to 34",85,430,515,0.1694
"Congo","France","Females","18 to 34",120,1195,1315,0.2369
"Cuba","France","Females","18 to 34",5,5,10,0.643
"Dem. Rep. Congo","France","Females","18 to 34",895,6300,7195,0.229
"Djibouti","France","Females","18 to 34",5,15,20,0.3885
"Dominican Republic","France","Females","18 to 34",5,365,370,0.0075
"Egypt","France","Females","18 to 34",40,75,115,0.2438
"Eritrea","France","Females","18 to 34",225,445,670,0.8109
"Ethiopia","France","Females","18 to 34",60,165,225,0.3891
"Gabon","France","Females","18 to 34",0,25,25,0.1097
"Gambia, The","France","Females","18 to 34",25,75,100,0.1681
"Georgia","France","Females","18 to 34",90,1755,1845,0.0364
"Ghana","France","Females","18 to 34",0,20,20,0.1693
"Guinea","France","Females","18 to 34",625,2570,3195,0.3223
"Guinea-Bissau","France","Females","18 to 34",25,100,125,0.1926
"Guyana","France","Females","18 to 34",0,40,40,0.0306
"Haiti","France","Females","18 to 34",210,2335,2545,0.128
"India","France","Females","18 to 34",0,40,40,0.0249
"Iran","France","Females","18 to 34",180,95,275,0.5629
"Iraq","France","Females","18 to 34",340,50,390,0.6491
"Kazakhstan","France","Females","18 to 34",15,160,175,0.1009
"Kenya","France","Females","18 to 34",15,40,55,0.1318
"Kosovo","France","Females","18 to 34",215,4140,4355,0.0605
"Kyrgyzstan","France","Females","18 to 34",5,80,85,0.113
"Laos","France","Females","18 to 34",0,20,20,0.5055
"Lebanon","France","Females","18 to 34",0,15,15,0.0967
"Liberia","France","Females","18 to 34",5,20,25,0.1612
"Libya","France","Females","18 to 34",5,15,20,0.3114
"Macedonia","France","Females","18 to 34",0,505,505,0.0053
"Madagascar","France","Females","18 to 34",5,145,150,0.1079
"Mali","France","Females","18 to 34",850,1160,2010,0.3333
"Mauritania","France","Females","18 to 34",160,645,805,0.206
"Mauritius","France","Females","18 to 34",5,0,5,0.0498
"Mexico","France","Females","18 to 34",0,5,5,0
"Moldova","France","Females","18 to 34",0,265,265,0.0326
"Mongolia","France","Females","18 to 34",25,325,350,0.0364
"Montenegro","France","Females","18 to 34",0,220,220,0.0125
"Morocco","France","Females","18 to 34",20,65,85,0.0725
"Myanmar/Burma","France","Females","18 to 34",15,30,45,0.6471
"Nepal","France","Females","18 to 34",5,70,75,0.1348
"Niger","France","Females","18 to 34",0,20,20,0.231
"Nigeria","France","Females","18 to 34",125,2230,2355,0.116
"North Korea","France","Females","18 to 34",5,55,60,0.4277
"Pakistan","France","Females","18 to 34",30,155,185,0.1802
"Palestine","France","Females","18 to 34",30,15,45,0.6879
"Peru","France","Females","18 to 34",0,160,160,0.135
"Russia","France","Females","18 to 34",845,4760,5605,0.1976
"Rwanda","France","Females","18 to 34",170,225,395,0.4433
"Senegal","France","Females","18 to 34",115,285,400,0.1865
"Serbia","France","Females","18 to 34",95,1190,1285,0.0272
"Sierra Leone","France","Females","18 to 34",30,330,360,0.2901
"Somalia","France","Females","18 to 34",130,255,385,0.7146
"South Africa","France","Females","18 to 34",0,5,5,0.1148
"Sri Lanka","France","Females","18 to 34",530,2340,2870,0.3524
"Stateless","France","Females","18 to 34",55,145,200,0.7297
"Sudan","France","Females","18 to 34",120,220,340,0.5336
"Syria","France","Females","18 to 34",465,40,505,0.8913
"Tajikistan","France","Females","18 to 34",0,5,5,0.1278
"Thailand","France","Females","18 to 34",0,20,20,0.07
"Togo","France","Females","18 to 34",45,120,165,0.2042
"Tunisia","France","Females","18 to 34",15,30,45,0.0343
"Turkey","France","Females","18 to 34",205,2275,2480,0.182
"Uganda","France","Females","18 to 34",10,25,35,0.4668
"Ukraine","France","Females","18 to 34",20,170,190,0.0864
"Uzbekistan","France","Females","18 to 34",5,30,35,0.1824
"Venezuela","France","Females","18 to 34",0,10,10,0.1065
"Vietnam","France","Females","18 to 34",0,30,30,0.0721
"Western Sahara","France","Females","18 to 34",10,10,20,0.3858
"Zimbabwe","France","Females","18 to 34",0,10,10,0.4377
"Afghanistan","Germany","Females","18 to 34",1650,1395,3045,0.5653
"Albania","Germany","Females","18 to 34",35,600,635,0.102
"Algeria","Germany","Females","18 to 34",5,70,75,0.0587
"Angola","Germany","Females","18 to 34",20,50,70,0.1866
"Armenia","Germany","Females","18 to 34",25,390,415,0.0902
"Azerbaijan","Germany","Females","18 to 34",55,420,475,0.2077
"Bahrain","Germany","Females","18 to 34",5,0,5,0.7665
"Bangladesh","Germany","Females","18 to 34",5,25,30,0.1079
"Belarus","Germany","Females","18 to 34",5,40,45,0.1942
"Benin","Germany","Females","18 to 34",0,25,25,0.1271
"Bosnia and Herzegovina","Germany","Females","18 to 34",10,1680,1690,0.0368
"Bulgaria","Germany","Females","18 to 34",0,60,60,0
"Burkina Faso","Germany","Females","18 to 34",0,25,25,0.1839
"Burundi","Germany","Females","18 to 34",0,10,10,0.3961
"Côte d'Ivoire","Germany","Females","18 to 34",10,45,55,0.2793
"Cameroon","Germany","Females","18 to 34",35,240,275,0.2651
"China (including Hong Kong)","Germany","Females","18 to 34",80,265,345,0.2802
"Colombia","Germany","Females","18 to 34",0,15,15,0.1715
"Congo","Germany","Females","18 to 34",0,25,25,0.2576
"Croatia","Germany","Females","18 to 34",0,10,10,0.0302
"Cuba","Germany","Females","18 to 34",0,20,20,0.668
"Dem. Rep. Congo","Germany","Females","18 to 34",55,190,245,0.2492
"Egypt","Germany","Females","18 to 34",40,25,65,0.2649
"Eritrea","Germany","Females","18 to 34",460,90,550,0.8273
"Ethiopia","Germany","Females","18 to 34",130,475,605,0.4157
"Gambia, The","Germany","Females","18 to 34",20,70,90,0.1842
"Georgia","Germany","Females","18 to 34",5,400,405,0.0405
"Ghana","Germany","Females","18 to 34",5,315,320,0.1855
"Guinea","Germany","Females","18 to 34",100,100,200,0.347
"Haiti","Germany","Females","18 to 34",0,5,5,0.1409
"India","Germany","Females","18 to 34",5,190,195,0.0277
"Iran","Germany","Females","18 to 34",1720,1015,2735,0.59
"Iraq","Germany","Females","18 to 34",3195,2510,5705,0.6739
"Israel","Germany","Females","18 to 34",0,5,5,0.0298
"Jordan","Germany","Females","18 to 34",5,15,20,0.2008
"Kazakhstan","Germany","Females","18 to 34",0,20,20,0.1114
"Kenya","Germany","Females","18 to 34",25,320,345,0.145
"Kosovo","Germany","Females","18 to 34",65,1645,1710,0.0671
"Kyrgyzstan","Germany","Females","18 to 34",10,35,45,0.1246
"Lebanon","Germany","Females","18 to 34",20,225,245,0.1068
"Libya","Germany","Females","18 to 34",15,0,15,0.3357
"Macedonia","Germany","Females","18 to 34",10,3545,3555,0.006
"Mali","Germany","Females","18 to 34",0,20,20,0.3584
"Moldova","Germany","Females","18 to 34",0,20,20,0.0363
"Mongolia","Germany","Females","18 to 34",0,60,60,0.0405
"Montenegro","Germany","Females","18 to 34",0,235,235,0.0139
"Morocco","Germany","Females","18 to 34",5,110,115,0.0803
"Myanmar/Burma","Germany","Females","18 to 34",55,0,55,0.672
"Nepal","Germany","Females","18 to 34",0,5,5,0.1483
"Niger","Germany","Females","18 to 34",0,10,10,0.2513
"Nigeria","Germany","Females","18 to 34",120,745,865,0.1279
"North Korea","Germany","Females","18 to 34",0,5,5,0.4551
"Pakistan","Germany","Females","18 to 34",190,295,485,0.1972
"Romania","Germany","Females","18 to 34",0,15,15,0.0146
"Russia","Germany","Females","18 to 34",230,2540,2770,0.2158
"Rwanda","Germany","Females","18 to 34",15,35,50,0.4708
"Senegal","Germany","Females","18 to 34",0,10,10,0.204
"Serbia","Germany","Females","18 to 34",35,8570,8605,0.0303
"Sierra Leone","Germany","Females","18 to 34",20,60,80,0.3135
"Slovakia","Germany","Females","18 to 34",0,5,5,0
"Somalia","Germany","Females","18 to 34",555,285,840,0.7367
"Sri Lanka","Germany","Females","18 to 34",165,175,340,0.3781
"Stateless","Germany","Females","18 to 34",195,55,250,0.751
"Sudan","Germany","Females","18 to 34",5,10,15,0.5611
"Syria","Germany","Females","18 to 34",4895,815,5710,0.9016
"Tajikistan","Germany","Females","18 to 34",0,35,35,0.1407
"Togo","Germany","Females","18 to 34",0,65,65,0.2228
"Tunisia","Germany","Females","18 to 34",5,50,55,0.0382
"Turkey","Germany","Females","18 to 34",120,795,915,0.1991
"Turkmenistan","Germany","Females","18 to 34",5,5,10,0.2919
"Uganda","Germany","Females","18 to 34",15,65,80,0.4945
"Ukraine","Germany","Females","18 to 34",5,50,55,0.0956
"Unknown","Germany","Females","18 to 34",455,505,960,0.3736
"Uzbekistan","Germany","Females","18 to 34",0,15,15,0.1995
"Vietnam","Germany","Females","18 to 34",0,1525,1525,0.0799
"Zimbabwe","Germany","Females","18 to 34",0,20,20,0.4652
"Afghanistan","Greece","Females","18 to 34",25,205,230,0.0984
"Albania","Greece","Females","18 to 34",5,465,470,0.0094
"Algeria","Greece","Females","18 to 34",0,10,10,0.0052
"Armenia","Greece","Females","18 to 34",0,70,70,0.0083
"Bangladesh","Greece","Females","18 to 34",0,55,55,0.01
"Belarus","Greece","Females","18 to 34",0,10,10,0.0198
"Côte d'Ivoire","Greece","Females","18 to 34",0,35,35,0.0315
"Cameroon","Greece","Females","18 to 34",0,40,40,0.0294
"Central African Republic","Greece","Females","18 to 34",20,0,20,0.1679
"China (including Hong Kong)","Greece","Females","18 to 34",0,455,455,0.0316
"Comoros","Greece","Females","18 to 34",0,15,15,0.0188
"Congo","Greece","Females","18 to 34",0,30,30,0.0283
"Cuba","Greece","Females","18 to 34",0,5,5,0.1445
"Dem. Rep. Congo","Greece","Females","18 to 34",0,20,20,0.0271
"Dominica","Greece","Females","18 to 34",0,10,10,0
"Dominican Republic","Greece","Females","18 to 34",0,165,165,7e-04
"Egypt","Greece","Females","18 to 34",0,20,20,0.0294
"Eritrea","Greece","Females","18 to 34",65,145,210,0.2868
"Ethiopia","Greece","Females","18 to 34",50,360,410,0.0564
"Georgia","Greece","Females","18 to 34",5,1835,1840,0.0035
"Ghana","Greece","Females","18 to 34",0,105,105,0.0188
"Guinea","Greece","Females","18 to 34",0,15,15,0.0427
"India","Greece","Females","18 to 34",0,35,35,0.0024
"Indonesia","Greece","Females","18 to 34",0,105,105,0
"Iran","Greece","Females","18 to 34",10,75,85,0.1078
"Iraq","Greece","Females","18 to 34",15,120,135,0.1478
"Kenya","Greece","Females","18 to 34",0,105,105,0.014
"Liberia","Greece","Females","18 to 34",0,5,5,0.0177
"Moldova","Greece","Females","18 to 34",0,95,95,0.0031
"Morocco","Greece","Females","18 to 34",0,75,75,0.0073
"Niger","Greece","Females","18 to 34",0,20,20,0.0274
"Nigeria","Greece","Females","18 to 34",10,955,965,0.0122
"Pakistan","Greece","Females","18 to 34",0,70,70,0.0202
"Philippines","Greece","Females","18 to 34",0,45,45,0
"Russia","Greece","Females","18 to 34",0,225,225,0.0226
"Rwanda","Greece","Females","18 to 34",0,15,15,0.0695
"Senegal","Greece","Females","18 to 34",0,45,45,0.0211
"Serbia","Greece","Females","18 to 34",0,5,5,0.0026
"Sierra Leone","Greece","Females","18 to 34",0,20,20,0.0369
"Somalia","Greece","Females","18 to 34",20,100,120,0.1902
"Sri Lanka","Greece","Females","18 to 34",0,50,50,0.0486
"Stateless","Greece","Females","18 to 34",0,5,5,0.202
"Sudan","Greece","Females","18 to 34",0,15,15,0.0969
"Syria","Greece","Females","18 to 34",80,90,170,0.4346
"Tanzania","Greece","Females","18 to 34",0,10,10,0.011
"Tunisia","Greece","Females","18 to 34",0,10,10,0.0033
"Turkey","Greece","Females","18 to 34",0,10,10,0.0204
"Uganda","Greece","Females","18 to 34",0,10,10,0.0759
"Ukraine","Greece","Females","18 to 34",0,95,95,0.0088
"Uzbekistan","Greece","Females","18 to 34",0,5,5,0.0205
